ngram,freq
CHAP,0.00012182903390550745
HAPT,0.00011923001451552329
APTE,0.00011987976936301933
PTER,0.00012052952421051537
TER ,0.0010285619235862308
ER I,0.00035574077900408173
R I ,7.959496881826487e-05
 I W,0.0001682865055014743
I WE,1.4619484068660895e-05
 WEL,0.00028199360381328124
WELL,0.00027517117791457283
ELL ,0.0004606761868746922
LL P,5.8153058850895555e-05
L PR,3.313749722229803e-05
 PRI,0.0010539023626385765
PRIN,0.0009665103356503591
RINC,0.0009424694062930057
INCE,0.001062998930503521
NCE ,0.0013657846894366756
CE S,0.0001046105304468624
E SO,0.0004363103800935907
 SO ,0.0006114193114937734
SO G,1.8518013153637133e-05
O GE,5.8153058850895555e-05
 GEN,0.00032000426239179957
GENO,9.746322712440596e-07
ENOA,9.746322712440596e-07
NOA ,9.746322712440596e-07
OA A,9.746322712440596e-07
A AN,0.00013092560177045202
 AND,0.007595959044652453
AND ,0.007762296285611439
ND L,0.00024105904842103073
D LU,6.172671051212378e-06
 LUC,1.2995096949920795e-05
LUCC,5.198038779968318e-06
UCCA,6.497548474960398e-07
CCA ,6.497548474960398e-07
CA A,1.2995096949920795e-06
A AR,4.548283932472278e-06
 ARE,0.0004187669992111976
ARE ,0.0005418955428116971
RE N,0.00015496653112780548
E NO,0.0004028480054475446
 NOW,0.0004447571931110392
NOW ,0.0007283751840430606
OW J,5.198038779968318e-06
W JU,4.548283932472278e-06
 JUS,0.00020694691892748866
JUST,0.00021799275133492133
UST ,0.00038140609548017535
ST F,5.100575552843912e-05
T FA,4.970624583344704e-05
 FAM,8.284374305574507e-05
FAMI,7.602131715703665e-05
AMIL,7.472180746204457e-05
MILY,5.035600068094308e-05
ILY ,0.0002059722866562446
LY E,6.20515879358718e-05
Y ES,8.446813017448517e-06
 EST,5.7503304003399516e-05
ESTA,5.6203794308407436e-05
STAT,0.0001228036661767515
TATE,0.00011858025966802725
ATES,5.522916203716338e-05
TES ,0.00010331102075187032
ES O,0.00029791259757693423
S OF,0.0009281747996480928
 OF ,0.004836125329913024
OF T,0.0017423176235606306
F TH,0.0018245116117688797
 THE,0.014070766099950489
THE ,0.011230037906697804
