ngram,freq
CHAP,-9.012891857486517
HAPT,-9.034456035402357
APTE,-9.0290212394164
PTER,-9.023615820849493
TER ,-6.87959364301597
ER I,-7.941308241206326
R I ,-9.4385596729122
 I W,-8.689842641197444
I WE,-11.133155393686607
 WEL,-8.173626168796577
WELL,-8.198117188804872
ELL ,-7.682815176364854
LL P,-9.752432077616172
L PR,-10.314845070172655
 PRI,-6.855255468221624
PRIN,-6.941818565477197
RINC,-6.9670070993355235
INCE,-6.846661185734289
NCE ,-6.5960261514600855
CE S,-9.165266337912518
E SO,-7.737156686933689
 SO ,-7.399727563311602
SO G,-10.896766615622377
O GE,-9.752432077616172
 GEN,-8.047176242284838
GENO,-13.841205594788818
ENOA,-13.841205594788818
NOA ,-13.841205594788818
OA A,-13.841205594788818
A AN,-8.940881321510243
 AND,-4.880138877745889
AND ,-4.858477075466396
ND L,-8.330468640289547
D LU,-11.995378904290487
 LUC,-11.250938429342991
LUCC,-12.167229161217145
UCCA,-14.246670702896981
CCA ,-14.246670702896981
CA A,-13.553523522337036
A AR,-12.300760553841668
 ARE,-7.77819588051774
ARE ,-7.5204373005382354
RE N,-8.772301392568586
E NO,-7.816951224857845
 NOW,-7.717982058168478
NOW ,-7.2246942798248215
OW J,-12.167229161217145
W JU,-12.300760553841668
 JUS,-8.483048227884764
JUST,-8.431048746485246
UST ,-7.871645883068886
ST F,-9.88357207810862
T FA,-9.909379962064492
 FAM,-9.398554338298501
FAMI,-9.484496768099225
AMIL,-9.501738574533732
MILY,-9.89639276653768
ILY ,-8.487768929019701
LY E,-9.687544455410297
Y ES,-11.681721345435445
 EST,-9.763668150883099
ESTA,-9.786526288959148
STAT,-9.004923687837339
TATE,-9.039920529874436
ATES,-9.804019446406665
TES ,-9.17776650067675
ES O,-8.118710411200462
S OF,-6.982290481226154
 OF ,-5.331641430537071
OF T,-6.352539084474002
F TH,-6.30644293775128
 THE,-4.263655960159003
THE ,-4.489163134752371
HE B,-7.375579408286436
E BU,-8.171324671808298
 BUO,-11.413457358840766
BUON,-11.4740819806572
UONA,-11.4740819806572
ONAP,-10.08778761953731
NAPA,-10.08778761953731
APAR,-9.62169788961271
PART,-8.182885494209374
ARTE,-8.968556043666464
RTES,-11.84877543009861
ES B,-9.146804275072784
S BU,-8.511712610772332
 BUT,-6.623273165527529
BUT ,-6.633098840254236
UT I,-8.301250094290406
T I ,-8.431048746485246
I WA,-9.506095879902688
 WAR,-8.761873769406327
WARN,-12.37486852599539
ARN ,-11.22624581675262
RN Y,-12.742593306120709
N YO,-9.269936960476407
 YOU,-6.362282463034528
YOU ,-6.750018264728698
OU I,-10.152326140674882
U IF,-13.330379971022827
 IF ,-7.774324408396081
IF Y,-9.88996187620739
F YO,-9.256238116118245
OU D,-9.758034333164842
U DO,-10.144027337860186
 DON,-8.184048961472671
DONT,-8.66694087691076
ONT ,-8.080202979802726
NT T,-7.850574728429413
T TE,-9.935871577511469
 TEL,-8.745412492352255
TELL,-8.663174394115282
LL M,-9.045415049192076
L ME,-9.89639276653768
 ME ,-7.789116425864401
ME T,-7.865701067259565
E TH,-6.268359733029261
 THA,-5.849951664948619
THAT,-5.928782473315112
HAT ,-5.700695710055292
AT T,-6.767935877329107
T TH,-6.101121071113398
 THI,-6.7986280899992355
THIS,-7.3021014507921285
HIS ,-5.723594848322589
IS M,-8.423624807413963
S ME,-9.206476606559182
 MEA,-8.857598973080481
MEAN,-8.997018508330227
EANS,-10.635752790252758
ANS ,-8.325092283253166
NS W,-9.034456035402357
S WA,-8.377373789763208
WAR ,-9.252842527117107
AR I,-10.041978083506017
R IF,-11.178617767763365
OU S,-8.991782894276282
U ST,-11.681721345435445
 STI,-8.20760717698972
STIL,-8.279242733617242
TILL,-8.089691717311426
ILL ,-7.153681445673855
LL T,-7.549636455230497
L TR,-11.068616872549036
 TRY,-9.480232369312768
TRY ,-9.11087226584672
RY T,-8.693711117975365
Y TO,-7.848075768361774
 TO ,-5.218271959896469
TO D,-8.303871327770281
O DE,-9.38298982175739
 DEF,-9.537140501584648
DEFE,-10.144027337860186
EFEN,-10.845473321234827
FEND,-10.570370030989906
END ,-8.62989960523041
ND T,-6.468459228384489
