ngram,freq
CHAP,-8.730657338720086
HAPT,-8.831648650267248
APTE,-8.82621385428129
PTER,-8.820808435714383
TERI,-8.447294927412822
ERIW,-12.028960297219609
RIWE,-14.737010498321817
IWEL,-12.945251029093763
WELL,-7.995309803669763
ELLP,-11.792571519155377
LLPR,-10.766718584769697
LPRI,-10.908369101832722
PRIN,-6.738675102368836
RINC,-6.701407805403236
INCE,-6.642326849623004
NCES,-7.473680880844982
CESO,-9.674415465294851
ESOG,-11.964421776082037
SOGE,-13.127572585887718
OGEN,-10.824987492893673
GENO,-11.692488060598395
ENOA,-11.903797154265602
NOAA,-13.638398209653708
OAAN,-14.043863317761872
AAND,-8.78636794573409
ANDL,-8.06118727668697
NDLU,-12.539785920985599
DLUC,-12.434425405327772
LUCC,-11.964421776082037
UCCA,-14.043863317761872
CCAA,-14.737010498321817
CAAR,-14.737010498321817
AARE,-12.252103848533817
AREN,-9.303288494767578
RENO,-8.718417283825584
ENOW,-9.050035141981999
NOWJ,-12.657568956641983
OWJU,-12.539785920985599
WJUS,-12.434425405327772
JUST,-8.228241361350136
USTF,-11.153491559865708
STFA,-11.369714668335344
TFAM,-12.252103848533817
FAMI,-9.203621009594299
AMIL,-9.063687231150325
MILY,-9.69358538140257
ILYE,-11.964421776082037
LYES,-11.903797154265602
YEST,-9.448743467627283
ESTA,-8.219339225409543
STAT,-8.677887302740022
TATE,-8.802116302702231
ATES,-9.260546946390308
TESO,-10.766718584769697
ESOF,-8.195980499131915
SOFT,-7.726698631014589
OFTH,-6.192980652952021
FTHE,-6.241654001514755
THEB,-7.331514835122346
HEBU,-9.802536565191126
EBUO,-14.043863317761872
BUON,-11.271274595522092
UONA,-11.210649973705657
ONAP,-9.409134329532238
NAPA,-8.994007310512336
APAR,-9.1840509134002
PART,-7.980078109074265
ARTE,-8.745545951213836
RTES,-11.240502936855338
TESB,-12.252103848533817
ESBU,-9.908696761019517
SBUT,-8.462248477079878
BUTI,-8.5244044025703
UTIW,-11.518134673453618
TIWA,-10.865809487413927
IWAR,-13.350716137201928
WARN,-11.558956667973872
ARNY,-13.350716137201928
RNYO,-12.791100349266506
NYOU,-9.067129575341298
YOUI,-9.957887005210289
OUIF,-12.945251029093763
UIFY,-13.638398209653708
IFYO,-9.68076469297351
FYOU,-9.046651043997757
YOUD,-9.479515126294036
OUDO,-9.788250607943649
UDON,-10.306193699478504
DONT,-7.991774148837456
ONTT,-10.31816989052522
NTTE,-11.369714668335344
TTEL,-10.609876113276727
TELL,-8.460367008980175
ELLM,-9.949518755539772
LLME,-9.892823411863226
LMET,-11.903797154265602
METH,-7.749520251320828
ETHA,-7.592603318000679
THAT,-5.716741636599651
HATT,-7.2951037702701935
ATTH,-6.668607539752118
TTHI,-8.522402399899626
THIS,-6.78509911646763
HISM,-8.398416420118634
ISME,-10.112037685037548
SMEA,-10.593875771930286
MEAN,-8.160540929273594
EANS,-9.619016685905063
ANSW,-8.67090240821807
NSWA,-11.271274595522092
SWAR,-10.766718584769697
WARI,-11.369714668335344
ARIF,-13.638398209653708
RIFY,-11.741278224767827
YOUS,-8.715987148972292
OUST,-9.760276755901243
USTI,-9.69358538140257
STIL,-8.062449106507392
TILL,-7.854573027323971
ILLT,-8.95318531599208
LLTR,-11.692488060598395
LTRY,-12.339115225523448
TRYT,-10.562623228426181
RYTO,-9.316475499049533
YTOD,-10.609876113276727
TODE,-9.522074740712833
ODEF,-11.210649973705657
DEFE,-9.924826142949401
EFEN,-10.354983863647936
FEND,-10.342561343649379
ENDT,-10.0548792711976
NDTH,-6.54361026636972
DTHE,-5.991248498946306
THEI,-7.093048549319289
HEIN,-8.68963831927554
EINF,-9.613046518918559
INFA,-9.668106296101586
NFAM,-11.518134673453618
AMIE,-13.638398209653708
MIES,-10.517502793145711
IESA,-9.438693131773782
ESAN,-7.826259710359882
SAND,-6.443210889475
ANDH,-7.12913242504331
NDHO,-9.164856466144053
DHOR,-10.71165880758667
HORR,-10.204411005168563
ORRO,-9.187934413426598
RROR,-9.924826142949401
RORS,-9.380424223649806
ORSP,-11.271274595522092
RSPE,-10.562623228426181
SPER,-8.725743323917657
PERP,-10.626136634148507
ERPE,-10.342561343649379
RPET,-10.547355756295392
PETR,-11.964421776082037
ETRA,-9.505901881467231
TRAT,-9.869476047866236
RATE,-8.88193857611939
ATED,-8.019205803298126
TEDB,-9.149761839921569
EDBY,-7.990598369748444
DBYT,-8.677887302740022
BYTH,-7.924665404144339
YTHA,-8.53853178182951
HATA,-8.122284898118057
ATAN,-8.804765310873806
TANT,-8.284961543884592
ANTI,-9.46401093975807
NTIC,-10.593875771930286
TICH,-11.404805988146615
ICHR,-10.78576677974039
CHRI,-10.474330621280503
HRIS,-10.578127414962147
RIST,-9.555226948029732
ISTI,-8.987617512413564
STIR,-10.446551057173426
TIRE,-9.739798224557703
IREA,-10.112037685037548
REAL,-8.250849709377729
EALL,-8.33841556378661
ALLY,-7.83326324073722
LLYB,-10.380301671632227
LYBE,-9.11299299213448
YBEL,-11.099424338595432
BELI,-9.38990296760435
ELIE,-9.161061395175501
LIEV,-9.45380676958383
IEVE,-9.325364446466779
EVEH,-11.271274595522092
VEHE,-9.68076469297351
EHEI,-10.259673683843612
HEIS,-8.68727704308986
EISA,-9.595346941819159
ISAN,-9.366372470194156
SANT,-8.735595620360668
STIW,-14.043863317761872
TIWI,-11.792571519155377
IWIL,-9.719730661506894
WILL,-7.695598834527008
ILLH,-9.533003811245022
LLHA,-9.839170698370907
LHAV,-10.406277158035486
HAVE,-7.1017066120624035
AVEN,-9.033228023665616
VENO,-9.320910096117398
ENOT,-8.36710951549359
NOTH,-7.459071925376157
OTHI,-8.170338068518577
THIN,-6.703027763638598
HING,-6.710186922104189
INGM,-8.659368254972783
NGMO,-9.687154491072281
GMOR,-10.237200827991552
MORE,-7.717713844606774
ORET,-8.475518814000775
RETO,-8.760659589023884
ETOD,-9.839170698370907
TODO,-9.05683788930475
ODOW,-10.824987492893673
DOWI,-10.908369101832722
OWIT,-9.1840509134002
WITH,-5.960689041871861
ITHY,-10.073571404209751
THYO,-9.90072859137034
HYOU,-9.438693131773782
YOUA,-8.559066384271217
OUAN,-10.092619599180445
UAND,-10.083050148164295
ANDY,-9.172490090999124
NDYO,-9.448743467627283
DYOU,-8.550801874421325
OUAR,-9.285972044756118
UARE,-9.164856466144053
ENOL,-11.099424338595432
NOLO,-9.753403876613481
OLON,-8.965569375191802
LONG,-7.75879675569112
ONGE,-8.947050327424565
NGER,-8.197424542704148
GERM,-9.760276755901243
ERMY,-11.303023293836672
RMYF,-11.441173632317488
MYFR,-10.930348008551498
YFRI,-11.099424338595432
FRIE,-8.890571723264094
RIEN,-8.313763534788299
IEND,-8.905128021038301
ENDN,-12.339115225523448
NDNO,-8.69913957839968
DNOL,-11.478913960300336
MYFA,-10.393205076468135
YFAI,-12.172061140860281
FAIT,-10.824987492893673
AITH,-10.71165880758667
ITHF,-10.102281510092181
THFU,-10.78576677974039
HFUL,-10.446551057173426
FULS,-10.460344379305763
ULSL,-13.638398209653708
LSLA,-12.945251029093763
SLAV,-11.153491559865708
LAVE,-11.645968044963503
AVEA,-9.05683788930475
VEAS,-10.488515256272459
EASY,-10.393205076468135
ASYO,-10.183133606721277
SYOU,-8.812754700907286
YOUC,-9.619016685905063
OUCA,-10.31816989052522
UCAL,-13.350716137201928
CALL,-8.345093384929216
LLYO,-9.1840509134002
LYOU,-9.187934413426598
YOUR,-7.70526923955869
OURS,-8.441744496882173
URSE,-8.616713079370868
RSEL,-8.473612235730194
SELF,-7.167598705871106
ELFB,-10.018511627026724
LFBU,-10.547355756295392
FBUT,-10.248374128589678
BUTH,-8.807421354931924
UTHO,-9.831735719883389
THOW,-10.31816989052522
HOWD,-10.237200827991552
OWDO,-10.131840312333727
WDOY,-11.692488060598395
DOYO,-9.1840509134002
OYOU,-8.410861025166719
UDOI,-12.09795316870656
DOIS,-13.127572585887718
OISE,-9.45380676958383
ISEE,-10.766718584769697
SEEI,-9.223581752156836
EEIH,-12.945251029093763
EIHA,-10.71165880758667
IHAV,-8.78636794573409
AVEF,-10.406277158035486
VEFR,-11.518134673453618
EFRI,-10.406277158035486
FRIG,-9.69358538140257
RIGH,-8.093220765174147
IGHT,-6.912964487465526
GHTE,-8.33841556378661
HTEN,-9.489986426161332
TENE,-8.67090240821807
ENED,-8.150838843467143
NEDY,-11.964421776082037
EDYO,-9.983420307215454
OUSI,-10.064181663859912
USIT,-12.028960297219609
SITD,-10.824987492893673
ITDO,-10.432945405117648
TDOW,-9.298931189398623
DOWN,-8.063712530554165
OWNA,-9.081018687501965
WNAN,-9.817029572493693
NAND,-7.343132208214063
ANDT,-6.41704947643529
NDTE,-10.131840312333727
DTEL,-10.562623228426181
LMEA,-11.369714668335344
MEAL,-10.393205076468135
ALLT,-7.735764876252342
LLTH,-7.5247160298214775
LTHE,-7.719504355380562
THEN,-7.311652611294667
HENE,-8.67322528963421
ENEW,-9.312060480840415
NEWS,-9.433705590262742
EWSI,-11.518134673453618
WSIT,-11.903797154265602
SITW,-9.68076469297351
ITWA,-7.9335052407134805
TWAS,-7.389066675173131
WASI,-8.668584910077708
ASIN,-8.506529050743337
SINJ,-12.791100349266506
INJU,-10.748026451757543
NJUL,-12.657568956641983
JULY,-12.172061140860281
ULYA,-12.791100349266506
LYAN,-8.067512408463939
YAND,-7.184248414107671
THES,-6.312151918108377
HESP,-9.312060480840415
ESPE,-8.641185935889593
SPEA,-8.68963831927554
PEAK,-8.740558409702796
EAKE,-10.502903993724559
AKER,-10.71165880758667
KERW,-13.350716137201928
ERWA,-8.990807307781665
RWAS,-8.9139646028388
WAST,-7.980078109074265
ASTH,-7.733945039535356
STHE,-6.725987119135377
THEW,-7.095446057060846
HEWE,-8.810084472351408
EWEL,-9.70005789590819
ELLK,-11.126092585677593
LLKN,-10.78576677974039
LKNO,-10.659473054416098
KNOW,-7.559228082126621
NOWN,-9.098655828988072
NANN,-11.181662436832404
ANNA,-8.987617512413564
NNAP,-9.469152339258489
APAV,-9.71312997747554
PAVL,-9.516654673243494
AVLO,-9.516654673243494
VLOV,-9.687154491072281
LOVN,-9.050035141981999
OVNA,-8.773431154703372
VNAS,-9.908696761019517
NASC,-11.558956667973872
ASCH,-10.805184865597493
SCHE,-10.215221921272777
CHER,-9.824355612585766
HERE,-6.333882263193553
ERER,-9.726375204225562
RERM,-14.043863317761872
ERMA,-8.97495911554164
RMAI,-12.028960297219609
MAID,-10.018511627026724
AIDO,-9.643260297515056
IDOF,-9.974836563524061
DOFH,-9.371034483299967
OFHO,-9.753403876613481
FHON,-11.073448852192172
HONO,-9.285972044756118
ONOR,-9.074050018185872
NORA,-9.974836563524061
ORAN,-8.735595620360668
RAND,-7.219489647718786
ANDF,-8.05114955125346
NDFA,-10.036530132529402
DFAV,-13.350716137201928
FAVO,-10.248374128589678
AVOR,-10.121889981480559
VORI,-11.048131044207882
ORIT,-9.285972044756118
RITE,-9.746577911543081
ITEO,-9.854208575735447
TEOF,-9.443705673597325
EOFT,-7.602119646755934
THEE,-7.232068429925647
HEEM,-8.228241361350136
EEMP,-8.247805566996501
EMPR,-11.153491559865708
MPRE,-9.371034483299967
PRES,-7.5343493017985805
RESS,-7.39164565790495
ESSM,-8.273981041401148
SSMA,-8.289704635780605
SMAR,-8.184502611287227
MARY,-8.054901900872009
ARYA,-9.195746953163392
RYAF,-12.09795316870656
YAFE,-11.099424338595432
AFED,-11.846638740425654
FEDO,-11.601516282392668
EDOR,-9.932989453588561
DORO,-10.88686289661176
OROV,-10.729677313089347
ROVN,-11.369714668335344
VNAW,-10.532317878930852
NAWI,-11.441173632317488
AWIT,-9.932989453588561
ITHT,-7.686021051253773
THTH,-7.6494367927638445
HTHE,-7.1868751558333885
HESE,-7.743995375388858
ESEW,-10.419522384785507
SEWO,-10.330291251057565
EWOR,-8.629987610579564
WORD,-8.211980840478356
ORDS,-8.643440728276682
RDSS,-10.729677313089347
DSSH,-11.478913960300336
SSHE,-8.330130512252504
SHEG,-10.204411005168563
HEGR,-8.856477511921117
EGRE,-9.11299299213448
GREE,-9.13120843202582
REET,-9.195746953163392
EETE,-11.271274595522092
ETED,-10.908369101832722
TEDP,-10.0548792711976
EDPR,-9.203621009594299
DPRI,-8.228241361350136
NCEV,-9.248072772165132
CEVA,-9.307664869367377
EVAS,-9.223581752156836
VASI,-9.095103427383705
ASIL,-8.85927471654218
SILI,-9.18018243662228
ILIK,-11.240502936855338
LIKU,-13.638398209653708
IKUR,-13.350716137201928
KURA,-10.419522384785507
URAG,-9.877198093960146
RAGI,-9.908696761019517
AGIN,-8.934892122944754
GINA,-9.474320309416932
INAM,-10.393205076468135
NAMA,-10.805184865597493
AMAN,-8.990807307781665
MANO,-9.802536565191126
ANOF,-9.38990296760435
NOFH,-9.63714407049762
OFHI,-7.780465055170249
FHIG,-13.350716137201928
HIGH,-8.916927567969456
IGHR,-11.303023293836672
GHRA,-13.638398209653708
HRAN,-12.09795316870656
RANK,-9.572224524398305
ANKA,-10.88686289661176
NKAN,-10.805184865597493
KAND,-8.828927560152888
ANDI,-7.333340208309444
NDIM,-10.294359241831502
DIMP,-10.502903993724559
IMPO,-8.711144524496504
MPOR,-9.371034483299967
PORT,-8.356887961422053
ORTA,-8.934892122944754
RTAN,-9.084521318053168
TANC,-8.962458952777409
ANCE,-7.560755966304674
NCEW,-9.290273126655508
CEWH,-9.458895839091301
EWHO,-7.975437729517762
WHOW,-8.2755423219681
HOWA,-8.788975509141173
OWAS,-8.799474293239392
THEF,-6.847926091286304
HEFI,-8.175979832425245
EFIR,-8.394889079600667
FIRS,-8.280240842749654
IRST,-8.188791395559445
RSTT,-9.63714407049762
STTO,-9.68076469297351
TTOA,-10.259673683843612
TOAR,-10.593875771930286
OARR,-11.240502936855338
ARRI,-8.263119801969543
RRIV,-9.45380676958383
RIVE,-8.837113144739327
IVEA,-9.63714407049762
VEAT,-10.609876113276727
EATH,-8.53853178182951
ATHE,-7.025461518692672
THER,-5.7295209743920825
HERR,-9.625022709965275
ERRE,-7.039889181039193
RREC,-9.795368075712513
RECE,-8.694377664639436
ECEP,-10.432945405117648
CEPT,-8.82621385428129
EPTI,-9.211557559190034
PTIO,-9.294592787800024
TION,-6.282970121910849
IONA,-7.936840430019618
ONAN,-8.226752157798668
VNAH,-11.404805988146615
NAHA,-11.271274595522092
AHAD,-10.162299519818434
HADH,-9.1840509134002
ADHA,-9.854208575735447
DHAD,-8.940952747556446
HADA,-8.561143228216057
ADAC,-11.335813116659663
DACO,-10.593875771930286
ACOU,-10.294359241831502
COUG,-11.558956667973872
OUGH,-6.999394215463914
UGHF,-11.518134673453618
GHFO,-12.252103848533817
HFOR,-10.064181663859912
FORS,-9.433705590262742
ORSO,-9.484737070275187
RSOM,-9.643260297515056
SOME,-7.16040073134878
OMED,-9.753403876613481
MEDA,-9.438693131773782
EDAY,-9.264739824650343
DAYS,-9.019982796915597
AYSS,-10.226150991804968
YSSH,-11.903797154265602
SHEW,-8.111618130313861
HEWA,-7.250957880458677
EWAS,-6.994608476506036
WASA,-7.716819790009893
ASAS,-9.366372470194156
SASS,-10.354983863647936
ASSH,-9.260546946390308
SHES,-8.02041572480084
HESA,-7.28286942017514
ESAI,-7.856626416135813
SAID,-6.779833174862343
AIDS,-9.23575228777709
IDSU,-11.903797154265602
DSUF,-11.441173632317488
SUFF,-9.45380676958383
UFFE,-9.674415465294851
FFER,-8.520404397236954
FERI,-9.892823411863226
ERIN,-7.60931679897442
RING,-7.3104614259245135
INGF,-8.105008720926188
NGFR,-9.16866599456072
GFRO,-9.357113144781358
FROM,-6.8356331445292025
ROML,-11.558956667973872
OMLA,-12.172061140860281
MLAG,-14.737010498321817
LAGR,-11.692488060598395
AGRI,-11.692488060598395
GRIP,-12.539785920985599
RIPP,-11.441173632317488
IPPE,-10.78576677974039
PPEG,-14.043863317761872
PEGR,-13.127572585887718
EGRI,-12.539785920985599
PPEB,-14.737010498321817
PEBE,-13.350716137201928
EBEI,-10.342561343649379
BEIN,-8.456614659361623
EING,-8.23122643819359
INGT,-6.418756169522973
NGTH,-6.757329195934077
GTHE,-7.068916789239412
HENA,-8.862079767469787
ENAN,-8.580031512736262
NANE,-10.845190200211192
ANEW,-10.215221921272777
NEWW,-10.975810382628255
EWWO,-11.441173632317488
WWOR,-11.692488060598395
ORDI,-9.088036260160612
RDIN,-8.899280051155879
DINS,-9.68076469297351
INST,-8.305679416388339
NSTP,-12.791100349266506
STPE,-11.02343843161751
TPET,-10.517502793145711
PETE,-9.02327769281245
ETER,-8.590681240652922
TERS,-7.970818783661468
ERSB,-8.804765310873806
RSBU,-8.916927567969456
SBUR,-9.095103427383705
BURG,-9.161061395175501
URGU,-12.657568956641983
RGUS,-14.737010498321817
GUSE,-12.434425405327772
USED,-8.597125946095563
SEDO,-9.831735719883389
EDON,-8.00123048407949
DONL,-9.3298387268617
ONLY,-7.565353675553303
NLYB,-9.746577911543081
LYBY,-10.71165880758667
YBYT,-11.02343843161751
YTHE,-7.217860540651995
HEEL,-9.753403876613481
EELI,-8.694377664639436
ELIT,-9.428742800920613
LITE,-10.729677313089347
ITEA,-9.68076469297351
TEAL,-11.02343843161751
ALLH,-9.033228023665616
LLHE,-9.277424984177658
LHER,-10.141890648187228
HERI,-8.244770663301347
RINV,-12.339115225523448
INVI,-9.924826142949401
NVIT,-10.517502793145711
VITA,-9.839170698370907
ITAT,-9.095103427383705
TATI,-8.781173128856988
ATIO,-7.195327398439707
IONS,-7.478598347726511
ONSW,-9.428742800920613
NSWI,-9.983420307215454
SWIT,-8.190225087561295
ITHO,-8.035050132319277
THOU,-6.972289953550341
HOUT,-7.725796510971451
OUTE,-8.902199761259213
UTEX,-11.601516282392668
TEXC,-10.845190200211192
EXCE,-9.11299299213448
XCEP,-10.131840312333727
IONW,-8.590681240652922
ONWR,-12.791100349266506
NWRI,-11.645968044963503
WRIT,-9.423804519280031
RITT,-10.162299519818434
ITTE,-9.067129575341298
TTEN,-8.682571152052448
TENI,-9.533003811245022
ENIN,-7.9929513120104705
NINF,-10.562623228426181
INFR,-9.019982796915597
NFRE,-10.294359241831502
FREN,-7.777611986187843
RENC,-7.65782610371215
ENCH,-7.650272563811241
NCHA,-9.060256696053536
CHAN,-8.217863210381422
HAND,-7.396823663001702
ANDD,-7.9435443657418086
NDDE,-9.264739824650343
DDEL,-11.335813116659663
DELI,-9.357113144781358
ELIV,-9.839170698370907
