ngram,freq
CHAPTER,-7.339268718368198
I,-4.913044322792015
WELL,-6.584055416583083
PRINCE,-5.6997694977643105
SO,-5.7045402462774435
GENOA,-12.146018277754658
AND,-3.236197584365146
LUCCA,-12.551483385862824
ARE,-6.097858386970131
NOW,-6.04944324624406
JUST,-6.902509147701617
FAMILY,-8.317376881265563
ESTATES,-9.581068920293122
OF,-3.6364541135029125
THE,-2.794612465499873
BUONAPARTES,-12.551483385862824
BUT,-4.9381584063221835
WARN,-11.452871097194713
YOU,-5.055941441978567
IF,-6.079137091361923
DONT,-6.971753559876601
TELL,-7.3177045404523575
ME,-6.093929108830242
THAT,-4.271025699280263
THIS,-5.60691413375797
MEANS,-8.996135324373409
WAR,-7.557655210082949
STILL,-6.73288523677804
TRY,-8.981950689381453
TO,-3.5230846428623095
DEFEND,-10.354258808526604
INFAMIES,-13.244630566422769
HORRORS,-11.165189024742933
PERPETRATED,-12.146018277754658
BY,-5.461406550086731
ANTICHRIST,-11.635192653988668
REALLY,-7.931424587380981
BELIEVE,-8.424349000817731
HE,-4.047476756250761
IS,-5.136609345046022
WILL,-6.27578018808082
HAVE,-5.655800688114955
NOTHING,-7.091897871718664
MORE,-6.283334520512602
DO,-6.29765457428735
WITH,-4.602921500308963
NO,-5.9996890200857615
LONGER,-8.074146571384617
MY,-6.133118449926612
FRIEND,-8.12066658701951
FAITHFUL,-10.759723916634767
SLAVE,-10.846735293624398
AS,-4.944101960223032
CALL,-8.73377105990592
YOURSELF,-8.482456631625013
HOW,-6.337875787774215
SEE,-6.65021710667299
FRIGHTENED,-8.482456631625013
SIT,-9.010524061825508
DOWN,-6.696411463660396
ALL,-5.311192178795279
NEWS,-8.102967009920109
IT,-4.684569474779355
WAS,-4.3409512334961695
IN,-4.163601930926926
JULY,-10.679681208961231
SPEAKER,-10.60557323680751
WELLKNOWN,-10.846735293624398
ANNA,-7.564457957405701
PAVLOVNA,-8.517242747710428
SCHERER,-11.452871097194713
MAID,-9.184187555876349
HONOR,-8.188384761074461
FAVORITE,-9.633712653778543
EMPRESS,-9.986534028401287
MARYA,-8.508432118028272
FEDOROVNA,-10.679681208961231
THESE,-6.864508029523003
WORDS,-7.265744801521647
SHE,-5.106357927892583
GREETED,-10.472041844182987
VASILI,-7.878654551400917
KURAGIN,-9.184187555876349
A,-3.9816977443274153
MAN,-6.256217384423177
HIGH,-8.424349000817731
RANK,-9.843433184760613
IMPORTANCE,-9.39448296471271
WHO,-5.572338110794013
FIRST,-6.79891074703719
ARRIVE,-10.200108128699345
AT,-4.825711944274872
HER,-4.7840077264949254
RECEPTION,-9.373429555514878
HAD,-4.65697891135797
COUGH,-11.298720417367456
FOR,-5.077562388081531
SOME,-6.504111206816545
DAYS,-7.892772432946702
SAID,-5.292367257765722
SUFFERING,-8.954171125274378
FROM,-5.345848209452459
LA,-9.483430450729205
GRIPPE,-12.551483385862824
BEING,-7.1090656753410295
THEN,-6.397687426837389
NEW,-7.588638755602916
WORD,-7.789309451065067
ST,-9.53105849971846
PETERSBURG,-7.747462341129567
USED,-8.361828643836398
ONLY,-6.076050669158733
ELITE,-13.244630566422769
INVITATIONS,-11.858336205302878
WITHOUT,-6.741840520507145
EXCEPTION,-10.411417222366552
WRITTEN,-9.101495840031236
FRENCH,-6.463572940486589
DELIVERED,-10.846735293624398
SCARLET,-11.858336205302878
LIVERIED,-12.551483385862824
FOOTMAN,-9.39448296471271
MORNING,-7.902296314457957
RAN,-7.672476534245004
FOLLOWS,-10.300191587256329
BETTER,-8.157034231190384
COUNT,-6.756946547938158
OR,-5.915536830176177
PROSPECT,-11.452871097194713
SPENDING,-10.846735293624398
AN,-5.848908957820723
EVENING,-7.869352158738604
POOR,-8.900825144569085
INVALID,-10.679681208961231
NOT,-4.794646124699981
TOO,-7.273368726632306
TERRIBLE,-8.188384761074461
SHALL,-7.735242229794792
BE,-5.444877248135521
VERY,-6.5562758524760065
CHARMED,-12.146018277754658
TONIGHT,-10.60557323680751
BETWEEN,-7.763991643080777
,-7.687802504723231
ANNETTE,-10.942045473428722
HEAVENS,-10.354258808526604
WHAT,-5.491007019863022
VIRULENT,-12.551483385862824
ATTACK,-8.581191472310701
REPLIED,-7.537520301673893
LEAST,-8.801979309932452
DISCONCERTED,-10.759723916634767
ENTERED,-7.864733212882309
WEARING,-9.010524061825508
EMBROIDERED,-11.298720417367456
COURT,-9.054975824396342
UNIFORM,-8.690753674822227
KNEE,-9.94879370041844
BREECHES,-10.300191587256329
SHOES,-10.10913635049362
STARS,-10.354258808526604
ON,-4.950081051279089
HIS,-4.259435748431469
BREAST,-9.483430450729205
SERENE,-9.607044406696383
EXPRESSION,-7.537520301673893
FLAT,-11.165189024742933
FACE,-6.4500439855462695
SPOKE,-8.12066658701951
REFINED,-10.846735293624398
WHICH,-5.6156266767698115
OUR,-6.811690473683589
GRANDFATHERS,-13.244630566422769
THOUGHT,-6.602143765055512
GENTLE,-9.506960948139401
PATRONIZING,-11.858336205302878
INTONATION,-11.452871097194713
NATURAL,-9.506960948139401
GROWN,-8.967964447406713
OLD,-6.538991471562766
SOCIETY,-8.346790766471857
WENT,-6.485375295759075
UP,-5.8909082360231375
KISSED,-8.465507073311239
HAND,-6.9549149955137715
PRESENTING,-11.047405989086549
BALD,-8.875182713955747
SCENTED,-11.635192653988668
SHINING,-10.066576736074822
HEAD,-6.9042712626950165
COMPLACENTLY,-11.858336205302878
SEATED,-9.877334736436294
HIMSELF,-6.317072660144452
SOFA,-8.954171125274378
DEAR,-7.288793196957938
SET,-8.194774559173231
YOUR,-6.546362512307356
FRIENDS,-8.79028327016926
MIND,-7.824095567150483
REST,-8.56249933929855
ALTERING,-12.146018277754658
TONE,-8.254197979644031
BENEATH,-10.200108128699345
POLITENESS,-10.472041844182987
AFFECTED,-10.300191587256329
SYMPATHY,-9.661111627966658
INDIFFERENCE,-10.300191587256329
EVEN,-7.010219840704397
IRONY,-10.200108128699345
COULD,-6.22802088252855
DISCERNED,-12.551483385862824
CAN,-7.096162270505122
ONE,-5.610777006741
WHILE,-7.255669149532905
MORALLY,-11.298720417367456
CALM,-8.79028327016926
TIMES,-8.20767796400914
LIKE,-6.627227588448291
HAS,-6.685015328929526
ANY,-7.102593160835412
FEELING,-7.476309570628996
STAYING,-9.877334736436294
WHOLE,-6.967987077081124
HOPE,-8.744820896092504
FETE,-10.846735293624398
ENGLISH,-9.843433184760613
AMBASSADORS,-11.165189024742933
TODAY,-8.778722447768185
WEDNESDAY,-11.298720417367456
MUST,-7.087651580837213
PUT,-7.642511745543068
APPEARANCE,-9.555751112308831
THERE,-5.94753956126235
DAUGHTER,-8.416316829120467
COMING,-8.150880365616006
TAKE,-7.380999390824671
TODAYS,-12.146018277754658
BEEN,-5.94753956126235
CANCELED,-13.244630566422769
CONFESS,-10.472041844182987
FESTIVITIES,-12.551483385862824
FIREWORKS,-11.858336205302878
BECOMING,-9.748123004956287
WEARISOME,-12.146018277754658
THEY,-5.558468262929862
KNOWN,-8.339355787984339
WISHED,-8.002883551363126
ENTERTAINMENT,-11.635192653988668
WOULD,-6.024988526292033
OFF,-7.187846553194144
WOUNDUP,-13.244630566422769
CLOCK,-10.679681208961231
FORCE,-8.331975680686716
HABIT,-9.581068920293122
THINGS,-7.802212855900975
DID,-5.941460515185969
WISH,-8.013521949568181
BELIEVED,-9.555751112308831
TEASE,-13.244630566422769
DECIDED,-8.629510049581508
ABOUT,-6.3259353474022975
NOVOSILTSEVS,-13.244630566422769
DISPATCH,-10.354258808526604
KNOW,-6.504111206816545
EVERYTHING,-7.218764592597454
SAY,-6.783162390069051
COLD,-8.324649640594643
LISTLESS,-11.165189024742933
BUONAPARTE,-9.877334736436294
BURNT,-11.858336205302878
BOATS,-11.635192653988668
WE,-6.3714667322102505
READY,-8.138685092522188
BURN,-10.200108128699345
OURS,-9.877334736436294
ALWAYS,-7.104746014196513
LANGUIDLY,-11.858336205302878
ACTOR,-12.146018277754658
REPEATING,-9.460440932504508
STALE,-13.244630566422769
PART,-7.793592112857068
CONTRARY,-8.416316829120467
DESPITE,-8.82578995862617
FORTY,-9.581068920293122
YEARS,-8.424349000817731
OVERFLOWED,-11.635192653988668
ANIMATION,-9.877334736436294
IMPULSIVENESS,-13.244630566422769
ENTHUSIAST,-13.244630566422769
BECOME,-8.440609521689511
SOCIAL,-10.025754741554568
VOCATION,-11.298720417367456
SOMETIMES,-8.354281438201015
WHEN,-5.934080407888346
FEEL,-8.354281438201015
BECAME,-8.108832129372507
ENTHUSIASTIC,-10.942045473428722
ORDER,-7.557655210082949
DISAPPOINT,-11.452871097194713
EXPECTATIONS,-11.047405989086549
THOSE,-6.750876726571082
KNEW,-7.221182973461736
SUBDUED,-11.635192653988668
SMILE,-7.21635204619207
THOUGH,-7.122137756908383
SUIT,-11.452871097194713
FADED,-11.858336205302878
FEATURES,-10.153588113064453
PLAYED,-9.43796807665245
ROUND,-7.187846553194144
LIPS,-8.508432118028272
EXPRESSED,-8.473945941957103
SPOILED,-10.60557323680751
CHILD,-8.629510049581508
CONTINUAL,-10.759723916634767
CONSCIOUSNESS,-9.039937947031802
CHARMING,-9.274338652870647
DEFECT,-11.635192653988668
NEITHER,-8.669919587919386
NOR,-8.06848083384894
CONSIDERED,-8.609901578193133
NECESSARY,-8.324649640594643
CORRECT,-10.300191587256329
MIDST,-9.689282504933354
CONVERSATION,-8.126636754006013
POLITICAL,-9.748123004956287
MATTERS,-8.954171125274378
BURST,-9.352810268312142
OUT,-6.124994928405132
OH,-7.488888352835856
SPEAK,-7.878654551400917
AUSTRIA,-9.912426056247565
PERHAPS,-8.473945941957103
UNDERSTAND,-7.389558644220341
NEVER,-7.230915410379967
DOES,-7.916754397633187
BETRAYING,-11.047405989086549
US,-7.197258387376491
RUSSIA,-8.132642778066225
ALONE,-7.755692840266082
SAVE,-9.607044406696383
EUROPE,-9.352810268312142
GRACIOUS,-10.025754741554568
SOVEREIGN,-9.201579298588218
RECOGNIZES,-11.452871097194713
TRUE,-8.457138823640722
THING,-7.810908562868529
FAITH,-9.986534028401287
GOOD,-7.164697371327178
WONDERFUL,-10.153588113064453
PERFORM,-10.536580365320559
NOBLEST,-13.244630566422769
ROLE,-10.10913635049362
EARTH,-9.184187555876349
VIRTUOUS,-10.759723916634767
NOBLE,-10.025754741554568
GOD,-7.664900740436546
FORSAKE,-13.244630566422769
HIM,-4.8028076820313075
FULFILL,-10.411417222366552
CRUSH,-10.679681208961231
HYDRA,-13.244630566422769
REVOLUTION,-10.10913635049362
THAN,-6.966109142256924
EVER,-8.2958706760446
PERSON,-8.967964447406713
MURDERER,-11.858336205302878
VILLAIN,-11.452871097194713
AVENGE,-12.146018277754658
BLOOD,-9.085747483063097
WHOM,-7.238277406821036
ASK,-7.946313199874732
RELY,-12.551483385862824
ENGLAND,-10.679681208961231
COMMERCIAL,-13.244630566422769
SPIRIT,-9.373429555514878
CANNOT,-8.14476413859857
EMPEROR,-6.975534282716507
ALEXANDERS,-10.153588113064453
LOFTINESS,-12.551483385862824
SOUL,-8.214192645030334
REFUSED,-9.912426056247565
EVACUATE,-13.244630566422769
MALTA,-12.551483385862824
WANTED,-8.040623879345974
FIND,-8.157034231190384
SEEKS,-11.635192653988668
SECRET,-9.555751112308831
MOTIVE,-11.165189024742933
ACTIONS,-8.981950689381453
ANSWER,-8.281785936162862
NOVOSILTSEV,-11.858336205302878
GET,-7.366894784643129
NONE,-9.373429555514878
UNDERSTOOD,-7.956363535728233
SELF,-8.900825144569085
ABNEGATION,-13.244630566422769
WANTS,-9.877334736436294
DESIRES,-10.472041844182987
MANKIND,-10.200108128699345
PROMISED,-9.237297381190297
LITTLE,-6.922065326495485
PRUSSIA,-9.843433184760613
DECLARED,-10.025754741554568
INVINCIBLE,-12.551483385862824
POWERLESS,-11.452871097194713
BEFORE,-6.523204865632125
HARDENBURG,-13.244630566422769
SAYS,-8.457138823640722
HAUGWITZ,-13.244630566422769
EITHER,-8.400443479964178
FAMOUS,-10.200108128699345
PRUSSIAN,-10.679681208961231
NEUTRALITY,-12.551483385862824
TRAP,-10.025754741554568
LOFTY,-10.025754741554568
DESTINY,-11.452871097194713
ADORED,-10.536580365320559
MONARCH,-10.354258808526604
SUDDENLY,-7.176204978178658
PAUSED,-8.954171125274378
